Libellé produit,Univers,Nature,Couleurs détectées,Dimensions,embedding,sim_univers,sim_nature,univers_suspect,nature_suspect,Univers suggéré,sim_uni_best,Nature suggérée,sim_nat_best
billes cuisson ceramique patisserie 7cm blanc,Décoration Textile,Ustensiles,['blanc'],['7cm'],"[-0.01963676 -0.02048025  0.00246234 ...  0.02644677  0.05665088
  0.00803333]",0.057566866,0.25984922,True,False,Cuisine Salle de bain,0.31428539752960205,Ustensiles,0.47420620918273926
vitrine 2 portes blanc laque brillant a leds matera 61 x 43 x h 162 neuf,Canapé Salon Séjour,Vitrine,['blanc'],['61 x 43'],[0.02408655 0.00370484 0.00061615 ... 0.01636619 0.00942865 0.01629268],0.06535875,0.36354852,False,False,Canapé Salon Séjour,0.16580833494663239,Vitrine,0.36354851722717285
vidaxl chaises salle a manger 4 pcs violet plastique,Canapé Salon Séjour,Chaise,['violet'],,"[ 0.03645076 -0.00362272  0.01927159 ...  0.00664854  0.01641894
  0.00456075]",0.27039307,0.42330712,False,False,Canapé Salon Séjour,0.2720615863800049,Chaise,0.5057883262634277
film verre trempe telephone nokia 6 coque protection souple visiodirect,TV Son Multimédia,Acc telephonie,,,"[-6.1005674e-02  6.2954791e-02  2.5513951e-02 ...  1.1690252e-02
 -1.3095222e-03 -2.4166035e-05]",0.10756762,0.30664772,False,False,TV Son Multimédia,0.12647366523742676,Acc telephonie,0.31449607014656067
giantex crash pad mat tapis protection pole dnace epaisseur 5cm tapis dance diametre 150cm 4 morceaux pliables e,Jardin Loisirs Sport,Accessoire fitness,,"['5cm', '150cm']","[-0.0421994  -0.02687673 -0.00969167 ... -0.03464074  0.00674292
  0.01767727]",0.14763883,0.3331017,False,False,Jardin Loisirs Sport,0.2849339246749878,Accessoire fitness,0.43212035298347473
four encastrable multifonction 71l neff 3650w 60cm b 57 cr 22 0,Gros Electroménager,Four,,['60cm'],"[-0.00408093  0.06358024  0.05659938 ...  0.00153986  0.00807193
 -0.00840039]",0.2998092,0.42017043,False,False,Gros Electroménager,0.3212530314922333,Four,0.46911507844924927
lit carla 160x60 chocolat,Chambre Literie,Tete de lit,['marron'],['160x60'],"[ 0.02527652  0.05246696 -0.01794973 ... -0.00567665 -0.02115592
  0.0019542 ]",0.37976786,0.3438727,False,False,Chambre Literie,0.37976786494255066,Tete de lit,0.4287216067314148
vidaxl canape sectionnel tissu gris clair,Canapé Salon Séjour,Canapé d'angle,['gris'],,"[-0.03926621  0.05735463  0.01857436 ...  0.01448086  0.0437642
 -0.01333644]",0.41828147,0.51173055,False,False,Canapé Salon Séjour,0.4182814657688141,Canapé d'angle,0.5117305517196655
klarstein down under hotte aspirante encastrable 90 cm extraction air 590 m3 h led inox brosse,Gros Electroménager,Hotte,,['90 cm'],"[ 0.02432207  0.04540641  0.05155484 ... -0.06234416  0.02516938
 -0.0220681 ]",0.15191823,0.3910249,False,False,Gros Electroménager,0.25967180728912354,Hotte,0.5103291869163513
glaze armoire salle bain porte panier style moderne 174x60x30 cm colonne salle bain blanc,Cuisine Salle de bain,Colonne sdb,['blanc'],,"[ 0.04674513  0.02434475  0.00457951 ... -0.01217278 -0.00351885
  0.02223516]",0.5257068,0.51459825,False,False,Cuisine Salle de bain,0.5257068276405334,Colonne sdb,0.5145982503890991
set 3 biberons nature sense verre,Enfant Bébé,Biberon,,,"[-0.04733737  0.04140298 -0.01000265 ... -0.00056322 -0.00278025
 -0.01644771]",0.24855557,0.44830787,False,False,Enfant Bébé,0.24855557084083557,Biberon,0.4863744378089905
twist tresse tour lit bebe protection multifonctions 120 cm vert,Enfant Bébé,Tour de lit,['vert'],['120 cm'],"[-0.00051241  0.04799968 -0.014817   ...  0.03636316  0.00441532
 -0.01259891]",0.29065907,0.5656241,False,False,Enfant Bébé,0.33244118094444275,Tour de lit,0.5656241178512573
adaptateur reducteur 35 mm 32 mm reference d219934,Petit Electroménager,Accessoire aspi,,"['35 mm', '32 mm']","[ 0.03411983  0.04328367  0.05327765 ... -0.00029472  0.03221095
  0.00418696]",0.18002197,0.30009454,False,False,Petit Electroménager,0.1800219714641571,Accessoire aspi,0.496313214302063
trottinette electrique cecotec bongo serie a,Jardin Loisirs Sport,Trottinette,,,"[ 0.03215781  0.03092063 -0.07399331 ...  0.05814291 -0.02191272
 -0.04377874]",0.07829489,0.5113553,False,False,Jardin Loisirs Sport,0.2508576214313507,Trottinette,0.5113552808761597
paris prix tapis deco imprime lunch 40x60cm noir,Décoration Textile,Tapis de cuisine,['noir'],['40x60cm'],"[ 0.01914366  0.01498662 -0.00543599 ... -0.03334753 -0.01003957
  0.02228291]",0.3339477,0.49379697,False,False,Décoration Textile,0.33394768834114075,Tapis de cuisine,0.5016000270843506
hitachi 55hk6100 smart television uhd 55 pouces,TV Son Multimédia,Tv ecran plat,,,"[ 0.00602139  0.02015013  0.01453826 ... -0.00243289 -0.01767359
 -0.05729782]",0.37211895,0.4634506,False,False,TV Son Multimédia,0.3721189498901367,Tv ecran plat,0.4634506106376648
pack pr a dormir 200x200 matelas boost ressorts ensaches memoire forme sommier kit noir couette 2 oreillers,Chambre Literie,Matelas + sommier,['noir'],['200x200'],"[ 0.00182622  0.04297133  0.02165235 ...  0.01093834 -0.01827768
 -0.04024687]",0.48749864,0.6684624,False,False,Chambre Literie,0.4874986410140991,Matelas + sommier,0.6684623956680298
accessoires set mini x line 14pcs forets polyvalents,Jardin Loisirs Sport,Visserie consommable,['beige'],,"[ 0.02044078 -0.01944145  0.01324325 ...  0.02397869 -0.03947872
  0.00669578]",0.21370675,0.34743673,False,False,Jardin Loisirs Sport,0.21370674669742584,Visserie consommable,0.5734282732009888
meduse bain scintillante coloris assortis,Enfant Bébé,Jouet de bain,,,"[ 0.05662727  0.01257509 -0.03269928 ... -0.01160004  0.05316481
  0.03481136]",0.09051491,0.5428304,False,False,Enfant Bébé,0.3845396041870117,Jouet de bain,0.5428304076194763
covo suspension ceramique 14 5cm coloris gris,Décoration Textile,Lustre,['gris'],['5cm'],"[ 0.00352591 -0.01247468  0.00082276 ...  0.01605009  0.00990944
  0.00785213]",0.19467463,0.25782424,False,False,Décoration Textile,0.23972737789154053,Lustre,0.40263739228248596
traversin 160 cm,Chambre Literie,Traversin,,['160 cm'],"[-0.00287264 -0.02417515 -0.02305621 ...  0.01403888  0.00600926
  0.01676901]",0.11827745,0.47759303,False,False,Chambre Literie,0.2850973606109619,Traversin,0.4916496276855469
memphis chambre 140x190 armoire 2 portes 260cm,Chambre Literie,Ensemble chambre,,"['140x190', '260cm']","[ 0.05360443 -0.0027288   0.03008411 ... -0.04233081 -0.02142538
  0.00591238]",0.32563135,0.3204767,False,False,Chambre Literie,0.3296889662742615,Ensemble chambre,0.504645586013794
serviette toucher doux microfibre serviette salle bain plage 150 x 75 cm couleur rouge,Décoration Textile,Tapis salle de bain,['rouge'],"['150 x 75 cm', '75 cm']","[ 0.03379183 -0.03599734 -0.00233976 ... -0.01948949  0.08014833
  0.07694316]",0.17419367,0.40465584,False,False,Décoration Textile,0.17419366538524628,Tapis salle de bain,0.5050559043884277
matelas palette reversible 120 x 80 x h 15 cm orange,Canapé Salon Séjour,Fauteuil,['orange'],"['120 x 80', '15 cm']","[-0.02521888 -0.00787661 -0.00077121 ... -0.0423999   0.00594088
  0.00162225]",0.17510088,0.27640778,False,False,Canapé Salon Séjour,0.268001914024353,Fauteuil,0.43615296483039856
aspirateur a main black decker nvc 115 w,Petit Electroménager,Mini aspirateur,,,"[ 0.0008262   0.02351569  0.06178123 ... -0.01069904 -0.02620551
  0.03598017]",0.16153988,0.39780146,False,False,Petit Electroménager,0.23295775055885315,Mini aspirateur,0.40125906467437744
vidaxl fauteuil tv pivotant repose pied noir similicuir,Canapé Salon Séjour,Fauteuil relax,['noir'],,[0.05948466 0.00577109 0.00194339 ... 0.03375728 0.01020592 0.018862  ],0.38718224,0.53158236,False,False,Canapé Salon Séjour,0.38718223571777344,Fauteuil relax,0.5315823554992676
naturalex optisoft matelas 90x200 cm mousse a memoire forme latex thermoregulateur hauteur 18 cm viscoelastique a effet th,Chambre Literie,Matelas,,"['90x200 cm', '18 cm']","[ 0.00260006  0.05588086  0.0478959  ...  0.01435575 -0.03719874
  0.0168053 ]",0.29876184,0.50328577,False,False,Chambre Literie,0.29876184463500977,Matelas,0.5199468731880188
matelas perfect sleep 120x200 mousse memoire multicouches 23 35 kg noyau uhr blue latex 7 zones respirant extr mement durable 16,Chambre Literie,Matelas,,['120x200'],"[ 0.0241449   0.05305003  0.05594919 ...  0.00657828 -0.01859117
  0.00680577]",0.378579,0.56534314,False,False,Chambre Literie,0.3785789906978607,Matelas,0.5653431415557861
meuble bas rangement commode salle bain ethan blanc elegant home fashions elg 585,Cuisine Salle de bain,Element bas SDB,['blanc'],,[0.04519025 0.00395642 0.01993428 ... 0.02810303 0.0305972  0.00464877],0.50033396,0.5478971,False,False,Cuisine Salle de bain,0.5003339648246765,Element bas SDB,0.5791042447090149
lit borea 160x200 tissu 1 sommier gris fonce,Chambre Literie,Lit adulte,['gris'],['160x200'],"[ 0.00998756  0.03218897  0.0100735  ... -0.01175008  0.02141192
 -0.02617423]",0.45882952,0.45349863,False,False,Chambre Literie,0.45882952213287354,Lit adulte,0.5335124135017395
housse coussin lana indigo,Décoration Textile,Housse de coussin,,,"[-0.0009811   0.05773097  0.00954177 ...  0.01906027  0.02418592
 -0.00268002]",0.3722031,0.7615224,False,False,Décoration Textile,0.3981960415840149,Housse de coussin,0.7615224123001099
besoa cosycalm couverture lestee 9kg perles gres micropeluche 150 x 200 cm marron,Décoration Textile,Plaid,['marron'],"['150 x 200 cm', '200 cm']","[-0.02605458 -0.01081895  0.01884397 ... -0.04501809 -0.00220631
  0.03040675]",0.19322848,0.4183749,False,False,Décoration Textile,0.19322848320007324,Plaid,0.4183748960494995
vidaxl chaises empilables exterieur 6 pcs resine tressee marron,Canapé Salon Séjour,Chaise,['marron'],,"[ 0.01159413 -0.01558637  0.02053722 ... -0.0067878   0.05751098
  0.03064386]",0.3356641,0.59132564,False,False,Canapé Salon Séjour,0.3356640934944153,Chaise,0.6054469347000122
monaco w1 commode contemporaine meuble mobilier rangement chambre salon 120x40x98 cm 6 tiroirs 2 portes buffet sejour,Chambre Literie,Commode,,,"[ 0.07444058 -0.00150225  0.0305684  ...  0.02598658 -0.01210423
  0.00429885]",0.30270296,0.35853887,False,False,Chambre Literie,0.3755934238433838,Commode,0.4696286916732788
lot 4 chaises velours vintage bordeaux inspiration scandinave,Canapé Salon Séjour,Chaise,['rouge'],,"[ 0.03640416 -0.02456845  0.00532785 ...  0.01036677  0.02929241
 -0.02990229]",0.33146867,0.5346172,False,False,Canapé Salon Séjour,0.3314686715602875,Chaise,0.5346171855926514
vidaxl table basse bois traverses massif 70 x 70 x 30 cm,Canapé Salon Séjour,Table basse,,"['70 x 70', '30 cm']","[-0.02343755  0.02036288 -0.02272206 ... -0.01209029  0.03620137
  0.02464866]",0.25742352,0.58845127,False,False,Canapé Salon Séjour,0.2574235200881958,Table basse,0.5884512662887573
lit 3 places max 3 200x80 200x120 matelas sommier tiroir escalier blanc rose,Enfant Bébé,Lit jeune,"['blanc', 'rose']","['200x80', '200x120']","[-9.0365174e-05 -3.8560357e-02  6.7433538e-03 ... -2.4520271e-02
  9.5846234e-03 -2.5298235e-03]",0.14364524,0.37802994,False,False,Enfant Bébé,0.5126223564147949,Lit jeune,0.5224733352661133
chaise hamac basic oralia volcano 140 x 105 x 155 cm pegane,Canapé Salon Séjour,Fauteuil relax,,"['140 x 105', '155 cm']","[ 0.02012684 -0.02700061 -0.00260282 ... -0.04071557 -0.03750672
  0.01586878]",0.30405352,0.45111367,False,False,Canapé Salon Séjour,0.30405351519584656,Fauteuil relax,0.45111367106437683
manila ensemble meuble tv moderne salon sejour 5 elements mur tv rangements meuble bas 2 vitrines colonnes etagere,Canapé Salon Séjour,Ens buffet table,,,"[ 0.01976264  0.02589722  0.01575026 ...  0.00653779  0.00981471
 -0.02433315]",0.34305066,0.40975195,False,False,Canapé Salon Séjour,0.41157111525535583,Ens buffet table,0.6283626556396484
tapis latte bambou 120x170cm naturel,Décoration Textile,Tapis salle de bain,,['120x170cm'],"[ 0.02542969 -0.00183223  0.01544896 ... -0.0042229  -0.02655922
  0.03341014]",0.29426348,0.513804,False,False,Décoration Textile,0.29426348209381104,Tapis salle de bain,0.6206761598587036
electronic star trottinette electrique 16km h accelerateur deux freins 100kg max rose,Jardin Loisirs Sport,Trottinette,['rose'],,"[ 0.03018516  0.02380577 -0.07009369 ...  0.05924328 -0.00791926
  0.0254246 ]",0.06934346,0.44757876,False,False,Jardin Loisirs Sport,0.10268534719944,Trottinette,0.4475787580013275
homemania meuble tv maya 90x30x33 cm noyer,Canapé Salon Séjour,Meuble tv,,,"[ 0.05608951  0.02717103 -0.01131352 ... -0.04791184 -0.00543417
 -0.02296933]",0.33318555,0.48377004,False,False,Canapé Salon Séjour,0.3331855535507202,Meuble tv,0.4837700426578522
babycalin matelas a langer flocons etoiles gris clair 50 x 70 cm,Bureau Rangement,Meuble à chaussures,['gris'],"['50 x 70 cm', '70 cm']","[-0.02056778 -0.0026209   0.02935679 ... -0.00400576  0.00905976
  0.03458716]",0.17141473,0.10812954,False,True,Bureau Rangement,0.3114948272705078,Matelas à langer,0.5102170705795288
lot 2 chaises salle a manger velours gris altoona,Canapé Salon Séjour,Chaise,['gris'],,"[-0.00840175 -0.01172345  0.01312513 ...  0.01011023  0.03937675
 -0.02472346]",0.26131025,0.42027244,False,False,Canapé Salon Séjour,0.26131024956703186,Chaise,0.4945484399795532
lave linge ouverture hublot sechant,Gros Electroménager,Lave linge,,,"[ 0.0232241   0.08842444  0.01000533 ... -0.00034358  0.02195271
  0.00210757]",0.19033384,0.6293943,False,False,Gros Electroménager,0.30994269251823425,Lave linge,0.6293942928314209
lave linge ouverture hublot 12kg,Gros Electroménager,Lave linge,,,"[ 0.00781097  0.06448628  0.01666786 ... -0.01834004  0.01700024
  0.00828493]",0.22783744,0.5933278,False,False,Gros Electroménager,0.24444715678691864,Lave linge,0.5933278203010559
meuble tv blanc noyer buffalo,Canapé Salon Séjour,Meuble tv,['blanc'],,"[ 0.04119679 -0.01197176  0.03066219 ... -0.04752394  0.02372711
 -0.08045491]",0.30449647,0.6018901,False,False,Canapé Salon Séjour,0.413999080657959,Meuble tv,0.6018900871276855
vintage in out orient tapis interieur exterieur orient bleu 120x170,Décoration Textile,Tapis de Salon et Ch,['bleu'],['120x170'],"[ 0.01476199  0.02145513 -0.00029579 ...  0.00066923  0.02633133
  0.0008533 ]",0.38845983,0.4565702,False,False,Décoration Textile,0.38845983147621155,Tapis de Salon et Ch,0.4580242335796356
lit superpose echelle tunnel pin coloris blanc 207 x 110 x 97 cm pegane,Enfant Bébé,Lit jeune,['blanc'],"['207 x 110', '97 cm']","[-0.00892274  0.04686167  0.00456658 ... -0.01721649  0.03048368
  0.03379231]",0.07813197,0.2948088,False,False,Enfant Bébé,0.29841411113739014,Lit jeune,0.4535160958766937
tagere a chaussures rangement chaussures pranveran effet bois fonce noir 2 etageres maille metallique,Bureau Rangement,Porte chaussures,['noir'],,"[-0.01706404 -0.00697186 -0.01595377 ... -0.02759599  0.06542823
  0.00618693]",0.31241807,0.51215124,False,False,Bureau Rangement,0.3124180734157562,Porte chaussures,0.520460307598114
bb lit bebe 120 x 60 cm matelas sommier a lattes set lit complete couleur hibou vert,Enfant Bébé,Lit bébé,['vert'],"['120 x 60 cm', '60 cm']","[ 0.02041917  0.05338967 -0.01646492 ... -0.0037226   0.00630416
 -0.05004586]",0.31073672,0.62865216,False,False,Enfant Bébé,0.47089776396751404,Lit bébé,0.6286521553993225
canape angle panoramique cuir blanc taupe marcus angle droite,Canapé Salon Séjour,Canapé d'angle,"['beige', 'blanc']",,"[ 0.01763568  0.02926566  0.00486506 ... -0.02668981  0.03679881
 -0.04973476]",0.4680545,0.67398584,False,False,Canapé Salon Séjour,0.46805450320243835,Canapé d'angle,0.6779797077178955
tectake jardiniere verticale 4 bacs a fleurs,Jardin Loisirs Sport,Potager,,,"[ 0.05634337 -0.02991921 -0.0266056  ...  0.00213788  0.0125999
 -0.02951084]",0.3684349,0.4545641,False,False,Jardin Loisirs Sport,0.3684349060058594,Potager,0.5748628377914429
table enfant,Enfant Bébé,Mini mobilier enfant,,,"[ 0.0294437   0.00203741  0.03142559 ...  0.04197102 -0.00551179
  0.00724544]",0.43835592,0.5545914,False,False,Enfant Bébé,0.4383559226989746,Mini mobilier enfant,0.6565518379211426
hotte visiere 260m h indesit 60cm islk 66 lsk,Gros Electroménager,Hotte,,"['260m', '60cm']","[ 0.02418115  0.08568798  0.01729492 ... -0.05657586  0.07954101
 -0.02232027]",0.18015265,0.5433709,False,False,Gros Electroménager,0.31515052914619446,Hotte,0.5433709025382996
linge maison distingue couleur gris couverture polaire housse 120 x 150 cm 145213,Décoration Textile,Plaid,['gris'],"['120 x 150 cm', '150 cm']","[-0.03142484  0.03949548  0.01216926 ... -0.04146867  0.02829828
 -0.00826347]",0.35188988,0.47134364,False,False,Décoration Textile,0.35188987851142883,Plaid,0.6081535220146179
ampoule lampe led forme flamme multipoints e14,Décoration Textile,Ampoule,,,"[ 0.03204818 -0.0077138  -0.02544634 ...  0.05490839 -0.04769319
  0.01592604]",0.05508044,0.55989784,True,False,Décoration Textile,0.13662482798099518,Ampoule,0.5598978400230408
ensemble matelas ressort 7 zones sommier oreiller couette fabrication francaise dimensions 140 x 190 cm,Chambre Literie,Matelas + sommier,,"['140 x 190 cm', '190 cm']","[-0.02616505 -0.01970425  0.00275326 ... -0.00897805 -0.0211281
 -0.04228465]",0.47773728,0.59474283,False,False,Chambre Literie,0.47773727774620056,Matelas + sommier,0.5947428345680237
carte memoire verbatim microsdhc 16 gb class 10 adapter sdhc,TV Son Multimédia,Access. PC Tablette,,,"[ 0.03732099  0.05127387  0.02380571 ...  0.02586418 -0.00781738
  0.02601014]",0.16956899,0.23099256,False,False,TV Son Multimédia,0.1695689857006073,Access. PC Tablette,0.5411306023597717
refrigerateur 1 porte integrable a glissiere 190l a arg8671,Gros Electroménager,Refrigerateur,,,[0.00771474 0.05827834 0.05497171 ... 0.01675027 0.03719204 0.02941503],0.17851892,0.5896601,False,False,Gros Electroménager,0.17851892113685608,Refrigerateur,0.589660108089447
matelas ergonomique 120x190 a memoire forme mousse haute resilience bellagio deluxe total confort,Chambre Literie,Matelas,,['120x190'],"[ 0.01297543  0.0575451   0.0174097  ...  0.03034424 -0.04044212
  0.00126761]",0.36592117,0.51632816,False,False,Chambre Literie,0.36592116951942444,Matelas,0.5163281559944153
